v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v131,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v170,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v244,v301,v312,v313,v361,v364,v379,v380,v393,v394,v501,v502,v513,v525,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
7.0,2.0,95.0,0.0,41.0,30.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,13.0,3.0,43.0,0.0,1.0,6.0,1.0,1.0,7.0,2.0,0.0,2.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,-36008.0,9.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,8.0,8.0,8.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,98.0,8.0,0.0,0.0,1.0,1.0,6.0,15.0,15.0,0.0,1.0,5.0,7.0,5.0,5.0,0.0,4.0,3.0,9.0,3.0,2.0,0.0,40.0,0.0,0.0,0.0,1.0,1.0
7.0,2.0,95.0,0.0,43.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,13.0,3.0,43.0,0.0,1.0,5.0,1.0,1.0,7.0,2.0,0.0,2.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,-61890.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,401.0,0.0,8.0,6.0,6.0,6.0,6.0,12.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,13.0,1.0,0.0,1.0,1.0,1.0,5.0,14.0,14.0,6.0,1.0,3.0,5.0,8.0,6.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,35.0,0.0,0.0,0.0,1.0,
7.0,2.0,95.0,1.0,43.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,13.0,3.0,43.0,4.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,-43833.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,20.0,0.0,0.0,0.0,1.0,
7.0,2.0,95.0,0.0,41.0,996.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,13.0,1.0,11.0,0.0,1.0,6.0,1.0,1.0,7.0,2.0,0.0,2.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,-56304.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,204.0,1.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,98.0,8.0,0.0,1.0,1.0,1.0,4.0,16.0,16.0,6.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,1.0,1.0
7.0,2.0,95.0,0.0,42.0,6.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,13.0,3.0,43.0,0.0,1.0,5.0,1.0,1.0,7.0,2.0,0.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,-33919.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,316.0,0.0,5.0,4.0,4.0,4.0,4.0,16.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,13.0,1.0,0.0,1.0,1.0,1.0,3.0,15.0,15.0,0.0,1.0,1.0,2.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0
7.0,2.0,95.0,0.0,41.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,13.0,1.0,11.0,0.0,1.0,4.0,1.0,1.0,7.0,2.0,0.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,-36213.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,104.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,98.0,8.0,0.0,1.0,1.0,1.0,2.0,14.0,14.0,0.0,1.0,1.0,2.0,95.0,7.0,0.0,1.0,0.0,1.0,95.0,95.0,95.0,24.0,0.0,0.0,0.0,1.0,0.0
7.0,2.0,95.0,0.0,43.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,13.0,3.0,43.0,0.0,1.0,6.0,2.0,1.0,7.0,2.0,0.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,-63519.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,303.0,0.0,5.0,4.0,4.0,4.0,4.0,997.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,13.0,1.0,0.0,1.0,1.0,1.0,3.0,15.0,15.0,0.0,1.0,1.0,2.0,6.0,6.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,25.0,0.0,0.0,0.0,1.0,
7.0,2.0,95.0,0.0,43.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,13.0,3.0,43.0,0.0,1.0,8.0,1.0,3.0,7.0,2.0,0.0,2.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,-53406.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,401.0,0.0,3.0,7.0,7.0,6.0,7.0,997.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,6.0,17.0,17.0,0.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,0.0,46.0,0.0,0.0,0.0,1.0,
10.0,1.0,95.0,1.0,12.0,996.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,21.0,31.0,1.0,6.0,8.0,1.0,4.0,1.0,1.0,10.0,1.0,2.0,2.0,1.0,30.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,5.0,135925.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,3.0,1.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,2.0,21.0,21.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0
10.0,1.0,3.0,1.0,12.0,996.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0,31.0,31.0,1.0,1.0,8.0,1.0,3.0,1.0,1.0,10.0,1.0,2.0,2.0,1.0,28.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,5.0,232456.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,995.0,0.0,2.0,1.0,1.0,1.0,1.0,995.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,3.0,1.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,2.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0
