v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v131,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v167,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v301,v312,v313,v361,v364,v393,v394,v501,v502,v513,v525,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
9.0,1.0,4.0,1.0,13.0,2.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,7.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,2.0,26.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,4.0,74834.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,2.0,1.0,2.0,0.0,0.0,5.0,2.0,1.0,17.0,17.0,0.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,25.0,1.0,1.0,0.0,1.0,1.0
9.0,1.0,5.0,2.0,31.0,10.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,12.0,1.0,5.0,2.0,1.0,9.0,1.0,4.0,2.0,1.0,27.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,4.0,85712.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,302.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,22.0,21.0,3.0,1.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,26.0,1.0,1.0,0.0,1.0,0.0
9.0,1.0,0.0,1.0,13.0,30.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,8.0,1.0,2.0,0.0,1.0,9.0,1.0,2.0,2.0,1.0,25.0,0.0,2.0,1.0,2.0,2.0,5.0,0.0,3.0,15389.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,306.0,0.0,3.0,1.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,7.0,1.0,7.0,0.0,0.0,4.0,22.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,15.0,1.0,13.0,996.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,8.0,1.0,3.0,0.0,3.0,9.0,1.0,2.0,1.0,2.0,34.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,4.0,33347.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,302.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,15.0,15.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,33.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,0.0,2.0,97.0,997.0,97.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,97.0,97.0,97.0,2.0,6.0,12.0,2.0,3.0,0.0,3.0,97.0,7.0,4.0,10.0,2.0,34.0,7.0,2.0,0.0,1.0,1.0,97.0,1.0,4.0,33347.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,31.0,1.0,0.0,0.0,1.0,
9.0,1.0,8.0,1.0,13.0,5.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,6.0,1.0,4.0,2.0,1.0,9.0,1.0,1.0,2.0,1.0,33.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,4.0,23645.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,201.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0
9.0,1.0,4.0,2.0,13.0,5.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,16.0,11.0,1.0,4.0,2.0,1.0,9.0,1.0,3.0,2.0,1.0,31.0,0.0,2.0,1.0,2.0,1.0,7.0,0.0,4.0,21102.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,11.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,19.0,19.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,27.0,1.0,0.0,0.0,1.0,0.0
9.0,1.0,4.0,1.0,11.0,996.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,7.0,8.0,1.0,5.0,2.0,1.0,9.0,1.0,2.0,2.0,1.0,26.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,4.0,73906.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,102.0,1.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,16.0,16.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0
9.0,1.0,7.0,1.0,13.0,20.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,8.0,1.0,2.0,0.0,1.0,9.0,1.0,2.0,2.0,1.0,35.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,3.0,-13089.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,301.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,16.0,16.0,0.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,23.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,95.0,2.0,96.0,20.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,12.0,1.0,3.0,1.0,1.0,9.0,1.0,4.0,2.0,1.0,27.0,0.0,2.0,0.0,1.0,1.0,5.0,4.0,4.0,65239.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,18.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,24.0,1.0,1.0,0.0,1.0,0.0
