v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v131,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v167,v170,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v244,v301,v312,v313,v361,v364,v393,v394,v501,v502,v513,v525,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
2.0,2.0,9.0,0.0,43.0,15.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,31.0,2.0,19.0,0.0,1.0,5.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,47.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,-89868.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,306.0,0.0,3.0,2.0,3.0,3.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,19.0,19.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,7.0,1.0,7.0,2.0,2.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0
4.0,2.0,95.0,0.0,21.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,12.0,2.0,17.0,0.0,1.0,6.0,1.0,1.0,4.0,2.0,0.0,3.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,-103657.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0,17.0,0.0,2.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0
2.0,2.0,95.0,2.0,31.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,2.0,19.0,8.0,1.0,6.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,75.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,-82446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0
4.0,2.0,95.0,1.0,43.0,60.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,12.0,2.0,17.0,0.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,-117628.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,16.0,16.0,0.0,3.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0
2.0,2.0,8.0,2.0,43.0,15.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,31.0,2.0,19.0,8.0,1.0,12.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,85.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,-83449.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,307.0,0.0,8.0,2.0,3.0,3.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,16.0,16.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,7.0,1.0,7.0,2.0,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0
2.0,2.0,20.0,1.0,31.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,2.0,19.0,6.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,63.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,-82098.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,995.0,0.0,3.0,5.0,5.0,5.0,5.0,997.0,5.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,20.0,20.0,0.0,1.0,3.0,5.0,7.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0,0.0,35.0,0.0,0.0,0.0,1.0,
4.0,2.0,95.0,2.0,31.0,996.0,12.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,33.0,31.0,31.0,1.0,17.0,10.0,1.0,3.0,0.0,2.0,4.0,2.0,3.0,3.0,2.0,36.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,273773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0,1.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,
2.0,2.0,95.0,2.0,31.0,15.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,23.0,2.0,19.0,9.0,1.0,7.0,0.0,3.0,2.0,2.0,3.0,3.0,1.0,50.0,0.0,2.0,2.0,2.0,1.0,8.0,0.0,0.0,3.0,-17436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,1.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0
2.0,2.0,95.0,2.0,42.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,31.0,2.0,19.0,10.0,1.0,8.0,0.0,3.0,2.0,2.0,3.0,12.0,1.0,55.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,0.0,2.0,-66284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,0.0
2.0,2.0,20.0,1.0,97.0,997.0,97.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,97.0,97.0,97.0,2.0,19.0,5.0,2.0,8.0,0.0,3.0,97.0,7.0,1.0,10.0,1.0,55.0,7.0,0.0,0.0,2.0,2.0,97.0,20.0,0.0,2.0,-66284.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,14.0,0.0,1.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,25.0,1.0,1.0,0.0,1.0,0.0
